Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,150,"Weekly scores: [2 (04/30-05/06), 3 (05/07-05/13), 2 (05/14-05/20)]"
Anshgrover23,150,"Weekly scores: [2 (04/30-05/06), 3 (05/07-05/13), 1 (05/14-05/20)]"
ArnavK-09,400,"Weekly scores: [3 (04/30-05/06), 3 (05/07-05/13), 3 (05/14-05/20)]"
MustafaMulla29,150,"Weekly scores: [2 (04/30-05/06), 2 (05/07-05/13), 0 (05/14-05/20)]"
ShiboSoftwareDev,400,"Weekly scores: [3 (04/30-05/06), 3 (05/07-05/13), 3 (05/14-05/20)]"
ianzone,5,"Weekly scores: [0 (04/30-05/06), 0 (05/07-05/13), 0 (05/14-05/20)]"
techmannih,150,"Weekly scores: [2 (04/30-05/06), 2 (05/07-05/13), 3 (05/14-05/20)]"
krushnarout,15,"Weekly scores: [1 (04/30-05/06), 0 (05/07-05/13), 0 (05/14-05/20)]"
cluesang,5,"Weekly scores: [0 (04/30-05/06), 0 (05/07-05/13), 0 (05/14-05/20)]"
mohan-bee,15,"Weekly scores: [1 (04/30-05/06), 0 (05/07-05/13), 0 (05/14-05/20)]"
ricohageman,15,"Weekly scores: [1 (04/30-05/06), 0 (05/07-05/13), 0 (05/14-05/20)]"
