Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,1050,"Weekly scores: [3 (02/24-03/02), 3 (03/03-03/09), 2 (03/10-03/16)]"
AnasSarkiz,600,"Weekly scores: [2 (02/24-03/02), 2 (03/03-03/09), 2 (03/10-03/16)]"
ArnavK-09,575,"Weekly scores: [3 (02/24-03/02), 1 (03/03-03/09), 0 (03/10-03/16)]"
CuboYe,10,"Weekly scores: [0 (02/24-03/02), 0 (03/03-03/09), 0 (03/10-03/16)]"
ShiboSoftwareDev,1550,"Weekly scores: [3 (02/24-03/02), 3 (03/03-03/09), 3 (03/10-03/16)]"
rushabhcodes,450,"Weekly scores: [2 (02/24-03/02), 2 (03/03-03/09), 2 (03/10-03/16)]"
techmannih,450,"Weekly scores: [2 (02/24-03/02), 1 (03/03-03/09), 2 (03/10-03/16)]"
Devesh36,10,"Weekly scores: [0 (02/24-03/02), 0 (03/03-03/09), 0 (03/10-03/16)]"
zalo,30,"Weekly scores: [1 (02/24-03/02), 0 (03/03-03/09), 0 (03/10-03/16)]"
nailoo,30,"Weekly scores: [1 (02/24-03/02), 0 (03/03-03/09), 0 (03/10-03/16)]"
